# format: as|source|type
# date: 20200101
# name: as2type
# exe: type-convert-amogh.pl
# files: 20200101.merged.class.txt
# types: Content|Enterprise|Transit/Access
1616|CAIDA_class|Transit/Access
1617|CAIDA_class|Enterprise
1620|CAIDA_class|Enterprise
1621|CAIDA_class|Enterprise
1622|CAIDA_class|Enterprise
1624|CAIDA_class|Enterprise
1625|CAIDA_class|Transit/Access
1627|CAIDA_class|Enterprise
1628|CAIDA_class|Transit/Access
1631|CAIDA_class|Enterprise
1632|CAIDA_class|Transit/Access
1633|CAIDA_class|Transit/Access
1634|CAIDA_class|Enterprise
1635|CAIDA_class|Transit/Access
1636|CAIDA_class|Transit/Access
1637|CAIDA_class|Transit/Access
1638|CAIDA_class|Transit/Access
1640|CAIDA_class|Transit/Access
1641|CAIDA_class|Transit/Access
1642|manual_class|Enterprise
1643|CAIDA_class|Transit/Access
1645|peerDB_class|Enterprise
1646|CAIDA_class|Enterprise
1647|CAIDA_class|Enterprise
1648|CAIDA_class|Transit/Access
1649|CAIDA_class|Transit/Access
1650|CAIDA_class|Enterprise
1651|CAIDA_class|Transit/Access
1652|CAIDA_class|Enterprise
1653|CAIDA_class|Transit/Access
1654|CAIDA_class|Enterprise
1657|CAIDA_class|Transit/Access
1659|CAIDA_class|Content
1661|CAIDA_class|Transit/Access
1663|CAIDA_class|Transit/Access
1672|CAIDA_class|Transit/Access
1675|CAIDA_class|Transit/Access
1676|manual_class|Enterprise
1678|CAIDA_class|Transit/Access
1680|peerDB_class|Transit/Access
1685|CAIDA_class|Transit/Access
1689|CAIDA_class|Enterprise
1696|CAIDA_class|Transit/Access
1699|CAIDA_class|Transit/Access
1700|CAIDA_class|Enterprise
1701|CAIDA_class|Transit/Access
1702|manual_class|Enterprise
1704|CAIDA_class|Transit/Access
1705|manual_class|Enterprise
1706|CAIDA_class|Transit/Access
1709|CAIDA_class|Enterprise
1712|CAIDA_class|Transit/Access
1715|CAIDA_class|Transit/Access
1723|CAIDA_class|Transit/Access
